FamilyCaseID,RoundNumber
Hol021528,11
Hol014047,11
Hol039414,11
Hol014170,11
Hol014144,11
Hol014154,11
Hol013495,11
Hol013502,11
Hol013429,11
Hol013515,11
Hol020352,11
Hol021329,11
Hol021324,11
Hol025428,11
Hol018219,11
Hol018347,11
Hol022572,11
Hol024304,11
Hol010897,11
Hol013608,11
Hol020788,11
Hol020789,11
Hol036245,11
Hol019873,11
Hol035972,11
Hol020671,11
Hol039889,11
Hol030416,11
Hol019685,11
Hol019757,11
Hol041028,11
Hol020922,11
Hol019742,11
Hol018709,11
Hol021816,11
Hol021952,11
Hol019666,11
Hol020879,11
Hol018224,11
Hol018228,11
Hol019335,11
Hol019336,11
Hol013259,11
Hol015660,11
Hol026965,11
Hol022546,11
Hol034515,11
Hol027895,11
Hol027545,11
Hol027891,11
Hol037057,11
Hol035997,11
Hol028163,11
Hol035024,11
Hol036218,11
Hol019567,11
Hol028308,11
Hol028906,11
Hol019405,11
Hol021805,11
Hol028188,11
Hol018883,11
Hol020895,11
Hol020664,11
Hol034666,11
Hol036255,11
Hol019835,11
Hol021596,11
Hol021595,11
Hol021548,11
Hol027364,11
Hol019016,11
Hol021058,11
Hol030191,11
Hol019154,11
Hol021062,11
Hol021062,11
Hol021643,11
Hol021667,11
Hol021667,11
Hol028907,11
Hol034612,11
Hol037092,11
Hol025709,11
Hol018559,11
Hol018559,11
Hol024845,11
Hol024846,11
Hol028909,11
Hol019911,11
Hol019150,11
Hol018908,11
Hol029430,11
Hol018903,11
Hol018896,11
Hol019156,11
Hol018910,11
Hol018900,11
Hol028166,11
Hol037040,11
Hol019566,11
Hol021933,11
Hol020624,11
Hol019157,11
Hol020860,11
Hol010852,11
Hol021944,11
Hol021945,11
Hol018899,11
Hol018899,11
Hol020270,11
Hol020270,11
Hol030673,11
Hol030600,11
Hol014105,11
Hol037773,11
Hol016075,11
Hol029080,11
Hol029053,11
Hol016790,11
Hol015161,11
Hol020992,11
Hol020992,11
Hol033688,11
Hol037096,11
Hol034639,11
Hol036173,11
Hol024894,11
Hol019170,11
Hol037038,11
Hol019334,11
Hol019334,11
Hol020790,11
Hol028199,11
Hol020893,11
Hol021050,11
Hol021050,11
Hol037493,11
Hol035488,11
Hol034213,11
Hol034413,11
Hol028167,11
Hol021590,11
Hol019784,11
Hol021183,11
Hol021214,11
Hol025622,11
Hol017557,11
Hol018355,11
Hol028225,11
Hol018725,11
Hol018766,11
Hol019981,11
Hol020441,11
Hol019763A,11
Hol019763B,11
Hol030233,11
Hol011505,11
Hol021629,11
Hol030992,11
Hol020814,11
Hol020813,11
Hol021525,11
Hol021527,11
Hol025930,11
Hol019081,11
Hol020690,11
Hol022725,11
Hol024269,11
Hol025925,11
Hol020962B,11
Hol020962A,11
Hol019174,11
Hol034244,11
Hol019175,11
Hol019172,11
Hol022288,11
Hol037426,11
Hol015176,11
Hol036401,11
Hol019849,11
Hol019844,11
Hol028204,11
Hol028108,11
Hol020843,11
Hol029434,11
Hol020846,11
Hol019435,11
Hol020768,11
Hol022828,11
Hol020797,11
Hol034661,11
Hol022695,11
Hol019803,11
Hol019813,11
Hol013886,11
Hol013862,11
Hol027531,11
Hol019731,11
Hol018449,11
Hol024844,11
Hol034957,11
Hol037394,11
Hol024464,11
Hol014444,11
Hol022513A,11
Hol022513B,11
Hol023675,11
Hol020961,11
Hol037850,11
Hol019380,11
Hol019358,11
Hol028777A,11
Hol028777B,11
Hol021472,11
Hol021463,11
Hol021594,11
Hol040144,11
Hol034775,11
Hol025793,11
