FamilyCaseID,RoundNumber
HOL023572,11
HOL017696,11
HOL017877,11
HOL035289,11
HOL024936,11
HOL030386,11
HOL024982,11
HOL033201,11
HOL06833,11
HOL024203,11
HOL034599,11
HOL024658,11
HOL033014,11
HOL024760,11
HOL027512,11
HOL040106,11
HOL033220,11
HOL036515,11
HOL021578,11
HOL021567,11
HOL032954,11
HOL028924,11
HOL030643,11
HOL024430,11
HOL024427,11
HOL029646,11
HOL024400,11
HOL028803,11
HOL024112B,11
HOL024112A,11
HOL024205,11
HOL024764,11
HOL018371,11
HOL018374,11
HOL024624,11
HOL018754,11
HOL032531,11
HOL024787,11
HOL026424,11
HOL036166,11
HOL023517,11
HOL023543,11
HOL040513,11
HOL022781,11
HOL024933,11
HOL033071,11
HOL033191,11
HOL029019,11
HOL033190,11
HOL040211,11
HOL034800,11
HOL035144,11
HOL035230,11
HOL037981,11
HOL040015,11
HOL026704,11
HOL035959,11
HOL035304,11
HOL028509,11
HOL032142,11
HOL0260834,11
HOL035312,11
HOL028477,11
HOL021897,11
HOL029797A,11
HOL029797B,11
HOL035332,11
HOL028648,11
HOL028007,11
HOL030550,11
HOL026091,11
HOL023906,11
HOL026859,11
HOL038444,11
HOL026050A,11
HOL026050B,11
HOL029341,11
HOL023052,11
HOL035393,11
HOL017757,11
HOL029660,11
HOL030063,11
HOL029954,11
HOL030054,11
HOL022819,11
HOL029776,11
HOL029772,11
HOL028963,11
HOL029804,11
HOL031488,11
HOL022825,11
HOL022871,11
HOL022927,11
HOL022912,11
HOL033810,11
HOL017352,11
HOL015783,11
HOL02301,11
HOL033794,11
HOL025093,11
HOL025252,11
HOL025315,11
HOL027140,11
HOL034489,11
HOL038308,11
HOL021949,11
HOL028522,11
HOL026884,11
HOL017355,11
HOL017274,11
HOL028568,11
HOL034039,11
HOL033726,11
HOL028546,11
HOL027599,11
HOL031126,11
HOL016828,11
HOL018479,11
HOL018466,11
HOL027842,11
HOL027542,11
HOL035540,11
HOL024138,11
HOL029294,11
HOL029297,11
HOL027035,11
HOL039462,11
HOL021901,11
HOL021585,11
HOL034273,11
HOL026912,11
HOL034584,11
HOL022916,11
HOL032928,11
HOL029875,11
HOL030545,11
HOL029841,11
HOL025894,11
HOL029889,11
HOL029988,11
HOL030017,11
HOL032267,11
HOL039707,11
HOL032959,11
HOL029940,11
HOL018246,11
HOL030113,11
HOL029199,11
HOL020115,11
HOL031181,11
HOL031825,11
HOL031324,11
HOL031156,11
HOL023533,11
HOL024456,11
HOL037620,11
HOL034809,11
HOL026459,11
HOL029718,11
HOL017712,11
HOL020617,11
HOL033740,11
HOL023375,11
HOL023314,11
HOL035302,11
HOL018196,11
HOL017014,11
HOL020109,11
HOL020113,11
HOL011545,11
HOL024757,11
HOL029298,11
HOL029289,11
HOL032850,11
HOL032919,11
HOL027321,11
HOL033165,11
HOL037085,11
HOL035016,11
HOL024934,11
HOL029052,11
HOL029357,11
HOL032817,11
HOL028372,11
HOL028370,11
HOL027355,11
HOL032818,11
HOL034073,11
HOL040880,11
HOL024622,11
HOL040728,11
HOL025185,11
HOL019947,11
HOL022677A,11
HOL022677B,11
HOL022614,11
HOL027875,11
HOL035276,11
HOL037584,11
HOL040382,11
HOL037048,11
HOL039672,11
HOL029392,11
HOL033200,11
HOL024425,11
HOL030418,11
HOL024325,11
HOL035449,11
HOL034693,11
HOL039690,11
HOL026023,11
HOL036820,11
HOL036585,11
HOL033615,11
HOL018006,11
HOL025365,11
HOL025256,11
HOL028316,11
HOL022867,11
HOL024204,11
HOL036838,11
HOL025269,11
HOL030428,11
HOL029323,11
HOL029305,11
HOL030420,11
HOL040295,11
HOL033354,11
HOL037686,11
HOL035584,11
HOL040476,11
HOL033440,11
HOL030241,11
HOL035002,11
HOL040664,11
HOL026803,11
HOL026822,11
HOL026817,11
HOL031697,11
HOL037849,11
HOL037706,11
HOL038299,11
HOL020702,11
HOL020696,11
HOL020707,11
HOL020704,11
HOL020695,11
HOL020713,11
HOL035098,11
HOL027166,11
HOL023981,11
HOL026449,11
HOL018879,11
HOL036578,11
HOL033814,11
HOL033998,11
HOL017297,11
HOL035423,11
HOL020700,11
HOL027016,11
HOL040833,11
HOL024672,11
HOL020703,11
HOL020709,11
HOL029017,11
HOL038208,11
HOL035950,11
HOL040678,11
HOL020706,11
HOL035967,11
HOL023362,11
HOL035898,11
HOL033550,11
HOL028843,11
HOL020699,11
HOL036577,11
HOL020698,11
HOL020701,11
HOL017430,11
HOL026461,11
HOL027336,11
HOL037906,11
HOL029662,11
HOL034780,11
HOL020697,11
HOL020367,11
HOL038968,11
HOL036693,11
HOL035271,11
HOL020952,11
HOL025244,11
HOL040474,11
HOL040272,11
HOL024164,11
HOL024133,11
HOL040205,11
HOL032211,11
HOL032199,11
HOL024139,11
HOL024147,11
HOL024128,11
HOL037074,11
HOL036113,11
HOL026536,11
HOL029356,11
HOL035284,11
HOL024337,11
HOL022229,11
HOL033551,11
HOL026060,11
HOL026718,11
HOL026726,11
HOL026720,11
HOL026531,11
HOL035313,11
HOL024943,11
HOL027262,11
HOL032813,11
HOL040461,11
HOL040366,11
HOL029701,11
HOL024210,11
HOL024338,11
HOL040460,11
HOL020351,11
HOL034080,11
HOL033153,11
HOL040294,11
HOL034013,11
HOL031759,11
HOL033572,11
HOL036662,11
HOL036516,11
HOL033954,11
HOL034891,11
HOL034911,11
HOL034051,11
HOL034995,11
HOL029246,11
HOL024777,11
HOL032340,11
HOL040649,11
HOL033636,11
HOL022252,11
HOL022251,11
HOL022249,11
HOL034270,11
HOL027330,11
HOL033039,11
HOL034149,11
HOL027087,11
HOL027103,11
HOL038951,11
HOL040792,11
HOL025966,11
HOL035925,11
HOL033022,11
HOL036800,11
HOL028144,11
HOL034217,11
HOL027293,11
HOL037036,11
HOL036345,11
HOL035080,11
HOL033575,11
HOL035046,11
HOL040348,11
HOL039112,11
HOL034388,11
HOL040577,11
HOL027094,11
HOL031857,11
HOL033534,11
HOL027506,11
HOL035484,11
HOL027276,11
HOL033031,11
HOL036278,11
HOL037687,11
HOL037590,11
HOL035499,11
HOL027308,11
HOL033067,11
HOL025307,11
HOL033131,11
HOL025285,11
HOL023538,11
HOL023558,11
HOL028504,11
HOL039045,11
HOL036363,11
HOL025134,11
HOL033192,11
HOL023502,11
HOL026944,11
HOL023516,11
HOL039108,11
HOL038958,11
HOL027025,11
HOL027199,11
HOL026937,11
HOL034563,11
HOL027300,11
HOL025316,11
HOL023555,11
HOL033879,11
HOL026848,11
HOL036238,11
HOL038853,11
HOL039596,11
HOL038375,11
HOL038390,11
HOL036557,11
HOL039009,11
HOL023534,11
HOL034581,11
HOL029187,11
HOL029693,11
HOL040520,11
HOL040501,11
HOL025193,11
HOL031946,11
HOL022285,11
HOL024635,11
HOL028198,11
HOL028070,11
HOL028136,11
HOL027323,11
HOL026177,11
HOL040025,11
HOL032457,11
HOL031983,11
HOL024293,11
HOL030174,11
HOL025447,11
HOL025816,11
HOL027887,11
HOL039739,11
HOL029097,11
HOL029099,11
HOL024900,11
HOL027633,11
HOL017456,11
HOL028388,11
HOL032885,11
HOL028712,11
HOL018078,11
HOL028707,11
HOL026157,11
HOL028886,11
HOL025511,11
HOL033866,11
HOL026539,11
HOL021713,11
HOL025824,11
HOL025331,11
HOL025610,11
HOL025572,11
HOL024059,11
HOL022807,11
HOL032762,11
HOL031111,11
HOL027685,11
HOL027791,11
HOL028757,11
HOL038967,11
HOL030824,11
HOL031617,11
HOL031621,11
HOL026423,11
HOL038286,11
HOL025475,11
HOL028500,11
HOL033172,11
HOL030033,11
HOL034900,11
HOL033986,11
HOL040413,11
HOL040642,11
HOL027730,11
HOL032791,11
HOL024877,11
HOL037764,11
HOL031620,11
HOL040698,11
HOL040270,11
HOL031553,11
HOL039650,11
HOL033101,11
HOL040508,11
HOL040542,11
HOL039588,11
HOL040238,11
HOL033381,11
HOL024687,11
HOL029071,11
HOL036074,11
HOL030268,11
HOL039411,11
HOL033855,11
HOL029809,11
HOL028309,11
HOL026709,11
HOL038275,11
HOL029922,11
HOL025973,11
HOL031731,11
HOL040414,11
HOL039126,11
HOL030659,11
HOL040687,11
HOL031541,11
HOL036395,11
HOL029045,11
HOL036397,11
HOL032631,11
HOL027870,11
HOL027940,11
HOL040166,11
HOL032699,11
HOL027650,11
HOL037163,11
HOL032990,11
HOL024706,11
HOL032379,11
HOL031556,11
HOL032042,11
HOL023610,11
HOL033258,11
HOL028341,11
HOL035501,11
HOL023608,11
HOL024602,11
HOL026256,11
HOL028396,11
HOL028431,11
HOL028371,11
HOL040928,11
HOL038421,11
HOL038420,11
HOL040314,11
HOL039175,11
HOL025026,11
HOL037953,11
HOL031655,11
HOL025466,11
HOL035264,11
HOL033905,11
HOL030341,11
HOL032037,11
HOL036664,11
HOL037537,11
HOL028979,11
HOL031696,11
HOL032369A,11
HOL032369B,11
HOL024130,11
HOL034452,11
HOL038589,11
HOL034451,11
HOL023101,11
HOL039386,11
HOL036624,11
HOL039718,11
HOL031599,11
HOL031724,11
HOL032024,11
HOL038926,11
HOL037990,11
HOL029423,11
HOL021063,11
HOL019063,11
HOL019064,11
HOL023703,11
HOL036145,11
HOL036066,11
HOL032365,11
HOL027454,11
HOL025935,11
HOL031535,11
HOL040674,11
HOL036334,11
HOL036332,11
HOL023711,11
HOL031503,11
HOL032999,11
HOL037480,11
HOL021860B,11
HOL021860A,11
HOL032403,11
HOL037885,11
HOL037768,11
HOL036473,11
HOL028122,11
HOL041050,11
HOL029556,11
HOL038372,11
HOL036463,11
HOL036069,11
HOL021659,11
HOL035169,11
